id,data_source,product_name,substance_name,INN,manufacturer,route,physical_form,physical_form_binary,API_concentration_mg_ml,API_concentration_mg_ml_min,API_concentration_mg_ml_max,API_concentration_mg_ml_op,API_concentration_mg_ml_mentioned,F_percent,F_percent_min,F_percent_max,F_percent_op,F_percent_mentioned,CL_L_per_day,CL_L_per_day_min,CL_L_per_day_max,CL_L_per_day_op,CL_L_per_day_mentioned,CL_L_per_day_per_kg,CL_kind,Vd_L,Vd_L_min,Vd_L_max,Vd_L_op,Vd_L_mentioned,Vd_L_per_kg,Vd_kind,TMDD_mentioned,TMDD_keywords_found,ex_ps80,ex_his,ex_sucr,ex_ps20,ex_nacl,ex_acet,ex_treh,ex_citr,ex_phos,ex_arg,ex_edta,ex_met,ex_sorb,ex_mann,ex_gly,is_biosimilar,extraction_date,created_at,strength_total_mg,strength_total_volume_ml,strength_label,strength_source,inn_norm
1,FDA,HUMIRA,adalimumab,adalimumab,,SC,solution,0.0,50.0,,,=,1.0,64.0,,,=,1.0,0.288,,,,1.0,,CL/F,5.35,4.7,6.0,,0.0,,Vss,0.0,,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2026-04-13 15:41:40,2026-04-14 09:17:06,,,,,adalimumab
3,FDA,IDACIO,adalimumab-aacf,adalimumab,"Fresenius Kabi USA, LLC",SC,solution,0.0,50.0,,,=,1.0,64.0,,,=,1.0,0.288,,,,0.0,,CL/F,5.35,4.7,6.0,,0.0,,Vss,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-04-13 15:42:43,2026-04-14 09:17:06,,,,,adalimumab
5,FDA,YUFLYMA,adalimumab-aaty,adalimumab,CELLTRION USA Inc.,SC,solution,0.0,100.0,,,,1.0,64.0,,,=,1.0,0.288,,,,1.0,,CL/F,5.35,4.7,6.0,,1.0,,Vss,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-04-13 15:43:32,2026-04-14 09:17:06,,,,,adalimumab
7,FDA,HYRIMOZ,adalimumab-adaz,adalimumab,Sandoz Inc.,SC,solution,0.0,100.0,50.0,100.0,range,1.0,64.0,,,=,1.0,0.288,,,=,1.0,,CL,5.35,4.7,6.0,range,1.0,,Vss,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-04-13 15:44:35,2026-04-14 09:17:06,,,100 mg/mL,,adalimumab
8,FDA,CYLTEZO,adalimumab-adbm,adalimumab,"Boehringer Ingelheim Pharmaceuticals, Inc.",SC,solution,0.0,100.0,50.0,100.0,range,1.0,64.0,,,=,1.0,0.288,,,=,1.0,,CL,5.35,4.7,6.0,range,1.0,,Vss,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-04-13 15:45:24,2026-04-14 09:17:06,,,100 mg/mL,,adalimumab
9,FDA,ABRILADA,adalimumab-afzb,adalimumab,Pfizer Inc.,SC,solution,0.0,50.0,,,=,1.0,64.0,,,=,1.0,0.288,,,=,1.0,,CL,5.35,4.7,6.0,range,1.0,,Vss,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-04-13 15:46:19,2026-04-14 09:17:06,,,,,adalimumab
10,FDA,YUSIMRY,adalimumab-aqvh,adalimumab,Coherus BioSciences,SC,solution,0.0,50.0,,,=,1.0,64.0,,,=,1.0,0.288,,,,1.0,,CL/F,5.35,4.7,6.0,,0.0,,Vss,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-04-13 15:47:18,2026-04-14 09:17:06,,,,,adalimumab
11,FDA,AMJEVITA,adalimumab-atto,adalimumab,Amgen,SC,solution,0.0,100.0,50.0,100.0,range,1.0,64.0,,,=,1.0,0.288,,,=,1.0,,CL,5.35,4.7,6.0,range,1.0,,Vss,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-04-13 15:48:18,2026-04-14 09:17:06,,,100 mg/mL,,adalimumab
12,FDA,HADLIMA,adalimumab-bwwd,adalimumab,Organon LLC,SC,solution,0.0,50.0,50.0,100.0,range,1.0,64.0,,,=,1.0,0.288,,,=,1.0,,CL,5.35,4.7,6.0,range,1.0,,Vss,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-04-13 15:49:02,2026-04-14 09:17:06,,,,,adalimumab
13,FDA,HULIO,adalimumab-fkjp,adalimumab,,SC,solution,0.0,50.0,,,=,1.0,64.0,,,=,1.0,0.288,,,=,1.0,,CL,5.35,4.7,6.0,range,1.0,,Vss,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-04-13 15:49:43,2026-04-14 09:17:06,,,,,adalimumab
14,FDA,SIMLANDI,adalimumab-ryvk,adalimumab,Teva Pharmaceuticals,SC,solution,0.0,100.0,,,=,1.0,64.0,,,=,1.0,0.288,,,,0.0,,CL/F,5.35,4.7,6.0,,0.0,,Vss,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-04-13 15:50:25,2026-04-14 09:17:06,,,,,adalimumab
16,FDA,LEMTRADA,alemtuzumab,alemtuzumab,Genzyme Corporation,IV,concentrate,2.0,10.0,,,=,1.0,,,,,0.0,,,,,0.0,,,14.1,,,=,1.0,,Vc,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-13 15:51:58,2026-04-14 09:17:06,,,,,alemtuzumab
17,FDA,LEMTRADA,alemtuzumab,,Genzyme Corporation,IV,solution,0.0,10.0,,,=,1.0,,,,,0.0,,,,,0.0,,,14.1,,,=,1.0,,Vc,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-13 15:52:41,2026-04-14 09:17:06,,,,,alemtuzumab
18,FDA,PRALUENT,alirocumab,alirocumab,"sanofi-aventis U.S. LLC and Regeneron Pharmaceuticals, Inc.",SC,solution,0.0,75.0,75.0,150.0,range,1.0,85.0,,,=,1.0,,,,,0.0,,,,,,,1.0,,Vd,0.0,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-13 15:53:27,2026-04-14 09:17:06,,,,,alirocumab
21,FDA,SAPHNELO,anifrolumab-fnia,anifrolumab,AstraZeneca AB,IV,solution,0.0,150.0,,,=,1.0,100.0,,,=,1.0,0.193,,,=,1.0,,CL,6.23,,,=,1.0,,Vss,1.0,non-linear PK,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2026-04-13 15:56:06,2026-04-14 09:17:06,,,,,anifrolumab
22,FDA,EBANGA,ansuvimab-zykl,,"Ridgeback Biotherapeutics, LP",IV,lyophilized powder,1.0,50.0,,,=,1.0,,,,,0.0,,,,,0.0,,,,,,,0.0,,,0.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-13 15:56:33,2026-04-14 09:17:06,,,,,ansuvimab
23,FDA,TECENTRIQ HYBREZA,atezolizumab,atezolizumab,Genentech,SC,solution,0.0,125.0,,,=,1.0,72.0,,,=,1.0,0.2,,,=,1.0,,CL,6.9,,,=,1.0,,Vss,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-13 15:57:53,2026-04-14 09:17:06,,,,,atezolizumab
26,FDA,BAVENCIO,avelumab,avelumab,EMD Serono,IV,solution,0.0,20.0,,,=,1.0,,,,,0.0,0.59,,,=,1.0,,CL,4.72,,,=,1.0,,Vss,0.0,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2026-04-13 15:59:50,2026-04-14 09:17:06,,,,,avelumab
